old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
BDO - SMSR (3358) - BKI,,1101156,BDO - SMSR (3358) - BKI,,,Asset,,NOOP,0
BDO - SMT (2491) - BKI,,1101135,BDO - SMT (2491) - BKI,,,Asset,,NOOP,0
BDO - SMTT (3331) - BKI,,1101155,BDO - SMTT (3331) - BKI,,,Asset,,NOOP,0
BDO - SMV (0162) - BKI,,1101120,BDO - SMV (0162) - BKI,,,Asset,,NOOP,0
BDO - STA.LU (3250) - BKI,,1101147,BDO - STA.LU (3250) - BKI,,,Asset,,NOOP,0
BDO - TMS (3129) - BKI,,1101152,BDO - TMS (3129) - BKI,,,Asset,,NOOP,0
BDO - TTE (0227) - BKI,,1101123,BDO - TTE (0227) - BKI,,,Asset,,NOOP,0
BDO - UMB (3293) - BKI,,1101150,BDO - UMB (3293) - BKI,,,Asset,,NOOP,0
BDO - UPTC (2645) - BKI,,1101141,BDO - UPTC (2645) - BKI,,,Asset,,NOOP,0
BDO - VGC (1061) - BKI,,1101130,BDO - VGC (1061) - BKI,,,Asset,,NOOP,0
BONUSES - BKI,,6002305,BONUSES - BKI,,,Expense,,NOOP,0
BPI - H.O (3975) - BKI,,1101104,BPI - H.O (3975) - BKI,,,Asset,,NOOP,0
BPI - PITX (4009) - BKI,,1101128,BPI - PITX (4009) - BKI,,,Asset,,NOOP,0
BUILDINGS - BKI,,1206400,Buildings - BKI,Fixed Assets - BKI,,Asset,,RENAME,1
BUSINESS DEVELOPMENT - BKI,,6010204,BUSINESS DEVELOPMENT - BKI,,,Expense,,NOOP,0
BUSINESS PERMITS & LICENSES - BKI,,6020501,BUSINESS PERMITS & LICENSES - BKI,,,Expense,,NOOP,0
CAR PLAN - BKI,,6002306,CAR PLAN - BKI,,,Expense,,NOOP,0
CAR REGISTRATION FEE - BKI,,6020503,CAR REGISTRATION FEE - BKI,,,Expense,,NOOP,0
CASH - BKI,,1101000,Cash - BKI,Cash In Hand - BKI,,Asset,,RENAME,1
CASH IN BANK - BKI,,1101100,CASH IN BANK - BKI,,,Asset,,NOOP,1
CASH ON HAND - BKI,,1112000,CASH ON HAND - BKI,,,Asset,,NOOP,1
CASHIER'S FUND - BKI,,1114000,CASHIER'S FUND - BKI,,,Asset,,NOOP,0
CELLPHONE - BKI,,6004004,CELLPHONE - BKI,,,Expense,,NOOP,0
CHANGE FUND - BKI,,1112200,CHANGE FUND - BKI,,,Asset,,NOOP,0
COMMON STOCK - BKI,,3000001,COMMON STOCK - BKI,,,Equity,,NOOP,0
COMPETETIVE CHECK - BKI,,6010211,COMPETETIVE CHECK - BKI,,,Expense,,NOOP,0
COMPUTER EQUIPMENT - BKI,,1206404,COMPUTER EQUIPMENT - BKI,,,Asset,,NOOP,1
CONSTRUCTION BOND - BKI,,1207201,CONSTRUCTION BOND - BKI,,,Asset,,NOOP,0
CONTROLLABLES - BKI,,6001000,CONTROLLABLES - BKI,,,Expense,,NOOP,1
Cost of Goods Sold - BKI,COST OF SALES - Bebang Enterprise Inc.,5100,Cost of Goods Sold - BKI,Stock Expenses - BKI,,Expense,Cost of Goods Sold,NOOP,0
COST OF SALES - BKI,,5000000,COST OF SALES - BKI,,,Expense,,NOOP,1
CREDIT CARD - DAYMAE - BKI,,1101101,CREDIT CARD - DAYMAE - BKI,,,Asset,,NOOP,0
CREDIT CARD - SAMER - BKI,,1101102,CREDIT CARD - SAMER - BKI,,,Asset,,NOOP,0
CREDITABLE WITHHOLDING TAXES - BKI,,1105101,CREDITABLE WITHHOLDING TAXES - BKI,,,Asset,,NOOP,0
CREW/STAFF SALARIES - BKI,,6002000,CREW/STAFF SALARIES - BKI,,,Expense,,NOOP,1
CREW/STAFF SALARIES-13TH MONTH PAY - BKI,,6002009,CREW/STAFF SALARIES-13TH MONTH PAY - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-ALLOWANCES - BKI,,6002011,CREW/STAFF SALARIES-ALLOWANCES - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-BASIC PAY - BKI,,6002001,CREW/STAFF SALARIES-BASIC PAY - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-DE MINIMIS - BKI,,6002002,CREW/STAFF SALARIES-DE MINIMIS - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-HOLIDAY PAY - BKI,,6002004,CREW/STAFF SALARIES-HOLIDAY PAY - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-HONORARIUM - BKI,,6002003,CREW/STAFF SALARIES-HONORARIUM - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-LAST PAY CREW/STAFF - BKI,,6002008,CREW/STAFF SALARIES-LAST PAY CREW/STAFF - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-NIGHT DIFFERENTIAL - BKI,,6002007,CREW/STAFF SALARIES-NIGHT DIFFERENTIAL - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-OVERTIME PAY - BKI,,6002006,CREW/STAFF SALARIES-OVERTIME PAY - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-REST DAY PAY - BKI,,6002005,CREW/STAFF SALARIES-REST DAY PAY - BKI,,,Expense,,NOOP,0
CREW/STAFF SALARIES-SL/VL CONVERSION - BKI,,6002010,CREW/STAFF SALARIES-SL/VL CONVERSION - BKI,,,Expense,,NOOP,0
CUSA CHARGES - BKI,,6020302,CUSA CHARGES - BKI,,,Expense,,NOOP,0
DEFICIT - BKI,,3000002,DEFICIT - BKI,,,Equity,,NOOP,0
DELIVERY FUND - BKI,,1115000,DELIVERY FUND - BKI,,,Asset,,NOOP,0
DELIVERY RIDERS - BKI,,6009003,DELIVERY RIDERS - BKI,,,Expense,,NOOP,0
DEPRECIATION - BKI,,6020800,Depreciation - BKI,Indirect Expenses - BKI,,Expense,,RENAME,1
DEPRECIATION - BUILDINGS - BKI,,6020801,DEPRECIATION - BUILDINGS - BKI,,,Expense,,NOOP,0
DEPRECIATION - LEASEHOLD IMPROVEMENTS - BKI,,6020802,DEPRECIATION - LEASEHOLD IMPROVEMENTS - BKI,,,Expense,,NOOP,0
DEPRECIATION -COMPUTER EQUIPMENT - BKI,,6020805,DEPRECIATION -COMPUTER EQUIPMENT - BKI,,,Expense,,NOOP,0
DEPRECIATION -FURNITURES AND FIXTURES - BKI,,6020804,DEPRECIATION -FURNITURES AND FIXTURES - BKI,,,Expense,,NOOP,0
DEPRECIATION -KITCHEN EQUIPMENT - BKI,,6020803,DEPRECIATION -KITCHEN EQUIPMENT - BKI,,,Expense,,NOOP,0
DEPRECIATION -MOTOR VEHICLE - BKI,,6020807,DEPRECIATION -MOTOR VEHICLE - BKI,,,Expense,,NOOP,0
DEPRECIATION -OFFICE EQUIPMENT - BKI,,6020806,DEPRECIATION -OFFICE EQUIPMENT - BKI,,,Expense,,NOOP,0
DEPRECIATION -PROJECT COST RELATED - BKI,,6020808,DEPRECIATION -PROJECT COST RELATED - BKI,,,Expense,,NOOP,0
DOC. STAMP TAX - BKI,,6020502,DOC. STAMP TAX - BKI,,,Expense,,NOOP,0
DONATION - BKI,,6010201,DONATION - BKI,,,Expense,,NOOP,0
ECOM FEES (5%) - BKI,,6020120,ECOM FEES (5%) - BKI,,,Expense,,NOOP,0
ELECTRICITY - BKI,,6004001,ELECTRICITY - BKI,,,Expense,,NOOP,0
EMPLOYEE BENEFITS - BKI,,6002300,EMPLOYEE BENEFITS - BKI,,,Expense,,NOOP,1
EQUIPMENT RENTAL - BKI,,6020301,EQUIPMENT RENTAL - BKI,,,Expense,,NOOP,0
FINES & PENALTIES - BKI,,6030004,FINES & PENALTIES - BKI,,,Expense,,NOOP,0
FIRST AID SUPPLIES - BKI,,6010208,FIRST AID SUPPLIES - BKI,,,Expense,,NOOP,0
FOOD - BKI,,5000001,FOOD - BKI,,,Expense,,NOOP,0
FOREIGN & LOCAL TRAVEL - BKI,,6010002,FOREIGN & LOCAL TRAVEL - BKI,,,Expense,,NOOP,0
FRINGE BENEFIT TAX - BKI,,6020504,FRINGE BENEFIT TAX - BKI,,,Expense,,NOOP,0
FURNITURES AND FIXTURES - BKI,,1206403,FURNITURES AND FIXTURES - BKI,,,Asset,,NOOP,1
GAS & OIL - BKI,,6010001,GAS & OIL - BKI,,,Expense,,NOOP,0
GEN MEET EXPENSES - BKI,,6010207,GEN MEET EXPENSES - BKI,,,Expense,,NOOP,0
GR/IR CLEARING - BKI,INVENTORY - BKI,1104005,GR/IR CLEARING - BKI,,,Asset,,NOOP,0
HDMF CONTRIBUTION-CREW/STAFF - BKI,,6002205,HDMF CONTRIBUTION-CREW/STAFF - BKI,,,Expense,,NOOP,0
HDMF CONTRIBUTION-MGT - BKI,,6002202,HDMF CONTRIBUTION-MGT - BKI,,,Expense,,NOOP,0
INCOME TAX PAYABLE - BKI,,2102201,INCOME TAX PAYABLE - BKI,,,Liability,,NOOP,0
INPUT VAT - GOODS - BKI,,1105103,INPUT VAT - GOODS - BKI,,,Asset,,NOOP,0
INPUT VAT - IMPORTATION - BKI,,1105105,INPUT VAT - IMPORTATION - BKI,,,Asset,,NOOP,0
INPUT VAT - SERVICES - BKI,,1105104,INPUT VAT - SERVICES - BKI,,,Asset,,NOOP,0
INSURANCE - BKI,,6020401,INSURANCE - BKI,,,Expense,,NOOP,0
Inter Company Receivable - BEI - BKI,CURRENT ASSETS - BKI,1103300,Inter Company Receivable - BEI - BKI,,,Asset,Inter Company Account,NOOP,0
INTEREST EXPENSE-BANKS - BKI,,6030003,INTEREST EXPENSE-BANKS - BKI,,,Expense,,NOOP,0
INTEREST EXPENSE-OTHERS - BKI,,6030002,INTEREST EXPENSE-OTHERS - BKI,,,Expense,,NOOP,0
INTERNET CHARGES - BKI,,6004005,INTERNET CHARGES - BKI,,,Expense,,NOOP,0
INVENTORY - BKI,,1104000,INVENTORY - BKI,,,Asset,,NOOP,1
INVENTORY - COMMISSARY - BKI,,1104001,INVENTORY - COMMISSARY - BKI,,,Asset,,NOOP,0
INVENTORY - STORES - BKI,,1104003,INVENTORY - STORES - BKI,,,Asset,,NOOP,0
INVENTORY - WAREHOUSE - BKI,INVENTORY - Bebang Enterprise Inc.,1104002,INVENTORY - WAREHOUSE - BKI,,,Asset,,NOOP,0
JANITORIAL SUPPLIES - BKI,,6006002,JANITORIAL SUPPLIES - BKI,,,Expense,,NOOP,0
KITCHEN EQUIPMENT - BKI,,1206402,KITCHEN EQUIPMENT - BKI,,,Asset,,NOOP,1
LEASE RELATED EXPENSES - BKI,,6020300,LEASE RELATED EXPENSES - BKI,,,Expense,,NOOP,1
LEASEHOLD IMPROVEMENTS - BKI,,1206401,LEASEHOLD IMPROVEMENTS - BKI,,,Asset,,NOOP,1
LEGAL FEES - BKI,,6020603,LEGAL FEES - BKI,,,Expense,,NOOP,0
LIABILITIES - BKI,,2000000,LIABILITIES - BKI,,,Liability,,NOOP,1
LOANS PAYABLE - CURRENT - BKI,,2104101,LOANS PAYABLE - CURRENT - BKI,,,Liability,,NOOP,0
LOANS PAYABLE - NON CURRENT - BKI,,2201100,LOANS PAYABLE - NON CURRENT - BKI,,,Liability,,NOOP,0
LOCAL AD & PROMO - BKI,,6005000,LOCAL AD & PROMO - BKI,,,Expense,,NOOP,0
LOGISTIC COST - BKI,,6003000,LOGISTIC COST - BKI,,,Expense,,NOOP,1
LOGISTICS COST-COMMISSARY - BKI,,6003001,LOGISTICS COST-COMMISSARY - BKI,,,Expense,,NOOP,0
LOGISTICS COST-PCF - BKI,,6003002,LOGISTICS COST-PCF - BKI,,,Expense,,NOOP,0
LOGISTICS COST-WAREHOUSE - BKI,,6003003,LOGISTICS COST-WAREHOUSE - BKI,,,Expense,,NOOP,0
LONG-TERM DEBT - BKI,,2201000,LONG-TERM DEBT - BKI,,,Liability,,NOOP,1
MANAGEMENT & CREW INCENTIVES - BKI,,6002309,MANAGEMENT & CREW INCENTIVES - BKI,,,Expense,,NOOP,0
MANAGEMENT FEE (2.5%) - BKI,,6020701,MANAGEMENT FEE (2.5%) - BKI,,,Expense,,NOOP,0
MANAGEMENT FEE (2%) - BKI,,6020702,MANAGEMENT FEE (2%) - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES - BKI,,6001001,MANAGEMENT SALARIES - BKI,,,Expense,,NOOP,1
MANAGEMENT SALARIES-13TH MONTH PAY - BKI,,6001011,MANAGEMENT SALARIES-13TH MONTH PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-ALLOWANCES - BKI,,6001013,MANAGEMENT SALARIES-ALLOWANCES - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-BASIC PAY - BKI,,6001002,MANAGEMENT SALARIES-BASIC PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-DE MINIMIS - BKI,,6001003,MANAGEMENT SALARIES-DE MINIMIS - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-HOLIDAY PAY - BKI,,6001005,MANAGEMENT SALARIES-HOLIDAY PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-HONORARIUM - BKI,,6001004,MANAGEMENT SALARIES-HONORARIUM - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-LAST PAY - BKI,,6001009,MANAGEMENT SALARIES-LAST PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-NIGHT DIFFERENTIAL - BKI,,6001008,MANAGEMENT SALARIES-NIGHT DIFFERENTIAL - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-OVERTIME PAY - BKI,,6001007,MANAGEMENT SALARIES-OVERTIME PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-REST DAY PAY - BKI,,6001006,MANAGEMENT SALARIES-REST DAY PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-SEPARATION PAY - BKI,,6001010,MANAGEMENT SALARIES-SEPARATION PAY - BKI,,,Expense,,NOOP,0
MANAGEMENT SALARIES-SL/VL CONVERSION - BKI,,6001012,MANAGEMENT SALARIES-SL/VL CONVERSION - BKI,,,Expense,,NOOP,0
MEALS - BKI,,6002301,MEALS - BKI,,,Expense,,NOOP,0
MEDICAL & PERSONAL ACCIDENT INSURANCE - BKI,,6002303,MEDICAL & PERSONAL ACCIDENT INSURANCE - BKI,,,Expense,,NOOP,0
MEMBERSHIP DUES & SUBSCRIPTION - BKI,,6010205,MEMBERSHIP DUES & SUBSCRIPTION - BKI,,,Expense,,NOOP,0
MINIMUM GUARANTEED RENT - BKI,,6020201,MINIMUM GUARANTEED RENT - BKI,,,Expense,,NOOP,0
MISCELLANEOUS EXPENSES - BKI,,6010200,Miscellaneous Expenses - BKI,Indirect Expenses - BKI,,Expense,,RENAME,1
MOTOR & CAR TAXI/JEEPNEY FARES - BKI,,6010003,MOTOR & CAR TAXI/JEEPNEY FARES - BKI,,,Expense,,NOOP,0
MOTOR VEHICLE - BKI,,1206406,MOTOR VEHICLE - BKI,,,Asset,,NOOP,1
MYSTERY SHOPPER COST - BKI,,6010210,MYSTERY SHOPPER COST - BKI,,,Expense,,NOOP,0
NATIONAL ADVERTISING FUND (3% ON NET SALES) - BKI,,6020102,NATIONAL ADVERTISING FUND (3% ON NET SALES) - BKI,,,Expense,,NOOP,0
NATIONAL ADVERTISING FUND (5% ON NET SALES) - BKI,,6020101,NATIONAL ADVERTISING FUND (5% ON NET SALES) - BKI,,,Expense,,NOOP,0
NON-CONTROLLABLES - BKI,,6020000,NON-CONTROLLABLES - BKI,,,Expense,,NOOP,1
NON-CURRENT ASSETS - BKI,,1200000,NON-CURRENT ASSETS - BKI,,,Asset,,NOOP,1
NON-CURRENT LIABILITIES - BKI,,2200000,NON-CURRENT LIABILITIES - BKI,,,Liability,,NOOP,1
NON-TRADE PAYABLES - BKI,,2101000,NON-TRADE PAYABLES - BKI,,,Liability,,NOOP,1
NON-TRADE RECEIVABLES - BKI,,1103200,NON-TRADE RECEIVABLES - BKI,,,Asset,,NOOP,1
OFFICE EQUIPMENT - BKI,,1206405,OFFICE EQUIPMENT - BKI,,,Asset,,NOOP,1
OFFICE SUPPLIES - BKI,,6006003,OFFICE SUPPLIES - BKI,,,Expense,,NOOP,0
OPERATING EXPENSES - BKI,,6000000,OPERATING EXPENSES - BKI,,,Expense,,NOOP,1
OPERATING SUPPLIES - BKI,,6006000,OPERATING SUPPLIES - BKI,,,Expense,,NOOP,1
OPERATING SUPPLIES-COMMISSARY - BKI,,6006004,OPERATING SUPPLIES-COMMISSARY - BKI,,,Expense,,NOOP,0
OTHER ASSETS - BKI,,1207100,OTHER ASSETS - BKI,,,Asset,,NOOP,1
OTHER CHARGES - BKI,,6030001,OTHER CHARGES - BKI,,,Expense,,NOOP,1
OTHER CURRENT ASSETS - BKI,,1105000,OTHER CURRENT ASSETS - BKI,,,Asset,,NOOP,1
OTHER INCOME - BKI,,6030000,OTHER INCOME - BKI,,,Income,,NOOP,0
OTHER PAYABLES - BKI,,2102100,OTHER PAYABLES - BKI,,,Liability,,NOOP,1
OTHER PROFESSIONAL FEE - BKI,,6020604,OTHER PROFESSIONAL FEE - BKI,,,Expense,,NOOP,0
OTHER TAX CREDITS - BKI,,1105106,OTHER TAX CREDITS - BKI,,,Asset,,NOOP,0
OTHER TAXES & LICENSES - BKI,,6020505,OTHER TAXES & LICENSES - BKI,,,Expense,,NOOP,0
OTHERS - BKI,,6010212,OTHERS - BKI,,,Expense,,NOOP,0
OTHERS EMPLOYEE BENEFITS - BKI,,6002308,OTHERS EMPLOYEE BENEFITS - BKI,,,Expense,,NOOP,0
OUTING/SPORTSFEST & PARTIES - BKI,,6002307,OUTING/SPORTSFEST & PARTIES - BKI,,,Expense,,NOOP,0
OUTPUT VAT PAYABLE - BKI,,2102205,OUTPUT VAT PAYABLE - BKI,,,Liability,,NOOP,0
OUTSIDE SERVICES - BKI,,6009000,OUTSIDE SERVICES - BKI,,,Expense,,NOOP,1
OUTSIDE SERVICES-OTHERS - BKI,,6009002,OUTSIDE SERVICES-OTHERS - BKI,,,Expense,,NOOP,0
PACKAGING - BKI,,5000002,PACKAGING - BKI,,,Expense,,NOOP,0
PAYMONGO CHARGES - BKI,,6030006,PAYMONGO CHARGES - BKI,,,Expense,,NOOP,0
PAYROLL TAXES - BKI,,6002200,PAYROLL TAXES - BKI,,,Expense,,NOOP,1
PAYROLL WITHOLDING TAXES PAYABLES - BKI,,2102104,PAYROLL WITHOLDING TAXES PAYABLES - BKI,,,Liability,,NOOP,0
PERCENTAGE RENT - VARIABLE - BKI,,6020203,PERCENTAGE RENT - VARIABLE - BKI,,,Expense,,NOOP,0
PEST CONTROL SERVICES - BKI,,6009001,PEST CONTROL SERVICES - BKI,,,Expense,,NOOP,0
PETTY CASH FUND - BKI,,1113000,PETTY CASH FUND - BKI,,,Asset,,NOOP,0
PHIC CONTRIBUTION-CREW/STAFF - BKI,,6002206,PHIC CONTRIBUTION-CREW/STAFF - BKI,,,Expense,,NOOP,0
PHIC CONTRIBUTION-MGT - BKI,,6002203,PHIC CONTRIBUTION-MGT - BKI,,,Expense,,NOOP,0
PHOTOCOPY & FILM DEVELOPING - BKI,,6010209,PHOTOCOPY & FILM DEVELOPING - BKI,,,Expense,,NOOP,0
PNB - H.O (1480) - BKI,,1101106,PNB - H.O (1480) - BKI,,,Asset,,NOOP,0
