old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
ACCOUNTS PAYABLE - OTHERS - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2101102,ACCOUNTS PAYABLE - OTHERS - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
CURRENT ASSETS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1100000,Current Assets - BEI,Application of Funds (Assets) - BEI,,Asset,Balance Sheet,RENAME,0
ACCRUAL - OTHERS - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102108,ACCRUAL - OTHERS - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
ACCRUAL - PROFESSIONAL FEES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102107,ACCRUAL - PROFESSIONAL FEES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
ACCUM DEP - BUILDINGS - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206500,ACCUM DEP - BUILDINGS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - COMPUTER EQUIPMENT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206504,ACCUM DEP - COMPUTER EQUIPMENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - FURNITURES AND FIXTURES - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206503,ACCUM DEP - FURNITURES AND FIXTURES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - KITCHEN EQUIPMENT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206502,ACCUM DEP - KITCHEN EQUIPMENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - LEASEHOLD IMPROVEMENTS - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206501,ACCUM DEP - LEASEHOLD IMPROVEMENTS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - MOTOR VEHICLE - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206506,ACCUM DEP - MOTOR VEHICLE - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - OFFICE EQUIPMENT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206505,ACCUM DEP - OFFICE EQUIPMENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ACCUM DEP - PROJECT COST RELATED - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206507,ACCUM DEP - PROJECT COST RELATED - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCE S TO SSS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103207,ADVANCE S TO SSS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCES TO DAYMAE KARAZI - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103206,ADVANCES TO DAYMAE KARAZI - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCES TO EMPLOYEES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103202,ADVANCES TO EMPLOYEES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCES TO OFFICERS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103203,ADVANCES TO OFFICERS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCES TO OTHERS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103204,ADVANCES TO OTHERS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCES TO SAMER KARAZI - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103205,ADVANCES TO SAMER KARAZI - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ADVANCES TO SSS - BEI,NON-TRADE RECEIVABLES - Bebang Enterprise Inc.,1103208,ADVANCES TO SSS - BEI,,,Asset,,NOOP,0
AIRCON/CHILLED - Bebang Enterprise Inc.,,6004007,AIRCON/CHILLED - BEI,,,Expense,Income Statement,UNRESOLVED,0
ASSETS - Bebang Enterprise Inc.,,1000000,ASSETS - BEI,,,Asset,Balance Sheet,UNRESOLVED,1
AUB - H.O (0771) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101107,AUB - H.O (0771) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
AUDIT FEES - Bebang Enterprise Inc.,,6020601,AUDIT FEES - BEI,,,Expense,Income Statement,UNRESOLVED,0
BANK CHARGES - Bebang Enterprise Inc.,,6030005,BANK CHARGES - BEI,,,Expense,Income Statement,UNRESOLVED,0
BASIC RENTALS - Bebang Enterprise Inc.,,6020200,BASIC RENTALS - BEI,,,Expense,Income Statement,UNRESOLVED,0
BASIC RENTALS - FIXED - Bebang Enterprise Inc.,,6020202,BASIC RENTALS - FIXED - BEI,,,Expense,Income Statement,UNRESOLVED,0
BDO - AEC (2599) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101142,BDO - AEC (2599) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - AFT (0030) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101118,BDO - AFT (0030) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - AMM (9199) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101114,BDO - AMM (9199) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - AS2 (3161) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101146,BDO - AS2 (3161) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - AV (2629) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101143,BDO - AV (2629) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - BFHP (2483) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101133,BDO - BFHP (2483) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - CMSSRY (3218) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101111,BDO - CMSSRY (3218) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - CMSSRY (9113) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101110,BDO - CMSSRY (9113) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - D'VC (3269) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101154,BDO - D'VC (3269) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - FMA (2335) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101131,BDO - FMA (2335) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - GMALL (3242) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101153,BDO - GMALL (3242) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - H.O (3137) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101108,BDO - H.O (3137) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - H.O (9164) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101103,BDO - H.O (9164) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - LCT (0189) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101121,BDO - LCT (0189) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - NAIAT3 (3315) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101149,BDO - NAIAT3 (3315) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - PC (1053) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101126,BDO - PC (1053) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - PITX (3188) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101127,BDO - PITX (3188) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - RGS (3226) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101148,BDO - RGS (3226) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - RPA (0197) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101122,BDO - RPA (0197) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - RPGT (2637) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101144,BDO - RPGT (2637) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - RPI (2602) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101140,BDO - RPI (2602) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SGC (1096) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101124,BDO - SGC (1096) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SJDM (2505) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101134,BDO - SJDM (2505) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMB (2564) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101138,BDO - SMB (2564) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMC (2556) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101139,BDO - SMC (2556) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMCC (3277) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101151,BDO - SMCC (3277) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMCP (1223) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101145,BDO - SMCP (1223) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SME (1045) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101129,BDO - SME (1045) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMG (1118) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101112,BDO - SMG (1118) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMG (9091) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101113,BDO - SMG (9091) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMK (1088) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101125,BDO - SMK (1088) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMNE (0057) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101119,BDO - SMNE (0057) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMNL (0049) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101115,BDO - SMNL (0049) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMOA (1207) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101132,BDO - SMOA (1207) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMRL (2548) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101137,BDO - SMRL (2548) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMS (0235) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101116,BDO - SMS (0235) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMS (9180) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101117,BDO - SMS (9180) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMSNDN (2521) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101136,BDO - SMSNDN (2521) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMSR (3358) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101156,BDO - SMSR (3358) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMT (2491) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101135,BDO - SMT (2491) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMTT (3331) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101155,BDO - SMTT (3331) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - SMV (0162) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101120,BDO - SMV (0162) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - STA.LU (3250) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101147,BDO - STA.LU (3250) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - TMS (3129) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101152,BDO - TMS (3129) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - TTE (0227) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101123,BDO - TTE (0227) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - UMB (3293) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101150,BDO - UMB (3293) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - UPTC (2645) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101141,BDO - UPTC (2645) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BDO - VGC (1061) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101130,BDO - VGC (1061) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BONUSES - Bebang Enterprise Inc.,,6002305,BONUSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
BPI - H.O (3975) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101104,BPI - H.O (3975) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BPI - PITX (4009) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101128,BPI - PITX (4009) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
BUILDINGS - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206400,Buildings - BEI,Fixed Assets - BEI,,Asset,Balance Sheet,RENAME,0
BUSINESS DEVELOPMENT - Bebang Enterprise Inc.,,6010204,BUSINESS DEVELOPMENT - BEI,,,Expense,Income Statement,UNRESOLVED,0
BUSINESS PERMITS & LICENSES - Bebang Enterprise Inc.,,6020501,BUSINESS PERMITS & LICENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
CAR PLAN - Bebang Enterprise Inc.,,6002306,CAR PLAN - BEI,,,Expense,Income Statement,UNRESOLVED,0
CAR REGISTRATION FEE - Bebang Enterprise Inc.,,6020503,CAR REGISTRATION FEE - BEI,,,Expense,Income Statement,UNRESOLVED,0
CASH - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101000,Cash - BEI,Cash In Hand - BEI,,Asset,Balance Sheet,RENAME,0
CASH IN BANK - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101100,CASH IN BANK - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CASH ON HAND - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1112000,CASH ON HAND - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CASHIER'S FUND - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1114000,CASHIER'S FUND - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CELLPHONE - Bebang Enterprise Inc.,,6004004,CELLPHONE - BEI,,,Expense,Income Statement,UNRESOLVED,0
CHANGE FUND - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1112200,CHANGE FUND - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
COMMON STOCK - Bebang Enterprise Inc.,,3000001,COMMON STOCK - BEI,,,Equity,Balance Sheet,UNRESOLVED,0
COMPETETIVE CHECK - Bebang Enterprise Inc.,,6010211,COMPETETIVE CHECK - BEI,,,Expense,Income Statement,UNRESOLVED,0
COMPUTER EQUIPMENT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206404,COMPUTER EQUIPMENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CONSTRUCTION BOND - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1207201,CONSTRUCTION BOND - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CONTROLLABLES - Bebang Enterprise Inc.,,6001000,CONTROLLABLES - BEI,,,Expense,Income Statement,UNRESOLVED,0
COST OF SALES - Bebang Enterprise Inc.,,5000000,COST OF SALES - BEI,,,Income,Income Statement,UNRESOLVED,0
CREDIT CARD - DAYMAE - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101101,CREDIT CARD - DAYMAE - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CREDIT CARD - SAMER - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101102,CREDIT CARD - SAMER - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CREDITABLE WITHHOLDING TAXES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105101,CREDITABLE WITHHOLDING TAXES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
CREW/STAFF SALARIES - Bebang Enterprise Inc.,,6002000,CREW/STAFF SALARIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-13TH MONTH PAY - Bebang Enterprise Inc.,,6002009,CREW/STAFF SALARIES-13TH MONTH PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-ALLOWANCES - Bebang Enterprise Inc.,,6002011,CREW/STAFF SALARIES-ALLOWANCES - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-BASIC PAY - Bebang Enterprise Inc.,,6002001,CREW/STAFF SALARIES-BASIC PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-DE MINIMIS - Bebang Enterprise Inc.,,6002002,CREW/STAFF SALARIES-DE MINIMIS - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-HOLIDAY PAY - Bebang Enterprise Inc.,,6002004,CREW/STAFF SALARIES-HOLIDAY PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-HONORARIUM - Bebang Enterprise Inc.,,6002003,CREW/STAFF SALARIES-HONORARIUM - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-LAST PAY CREW/STAFF - Bebang Enterprise Inc.,,6002008,CREW/STAFF SALARIES-LAST PAY CREW/STAFF - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-NIGHT DIFFERENTIAL - Bebang Enterprise Inc.,,6002007,CREW/STAFF SALARIES-NIGHT DIFFERENTIAL - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-OVERTIME PAY - Bebang Enterprise Inc.,,6002006,CREW/STAFF SALARIES-OVERTIME PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-REST DAY PAY - Bebang Enterprise Inc.,,6002005,CREW/STAFF SALARIES-REST DAY PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
CREW/STAFF SALARIES-SL/VL CONVERSION - Bebang Enterprise Inc.,,6002010,CREW/STAFF SALARIES-SL/VL CONVERSION - BEI,,,Expense,Income Statement,UNRESOLVED,0
CUSA CHARGES - Bebang Enterprise Inc.,,6020302,CUSA CHARGES - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEFICIT - Bebang Enterprise Inc.,,3000002,DEFICIT - BEI,,,Equity,Balance Sheet,UNRESOLVED,0
DELIVERY FUND - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1115000,DELIVERY FUND - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
DELIVERY RIDERS - Bebang Enterprise Inc.,,6009003,DELIVERY RIDERS - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION - Bebang Enterprise Inc.,,6020800,Depreciation - BEI,Indirect Expenses - BEI,,Expense,Income Statement,RENAME,0
DEPRECIATION - BUILDINGS - Bebang Enterprise Inc.,,6020801,DEPRECIATION - BUILDINGS - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION - LEASEHOLD IMPROVEMENTS - Bebang Enterprise Inc.,,6020802,DEPRECIATION - LEASEHOLD IMPROVEMENTS - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION -COMPUTER EQUIPMENT - Bebang Enterprise Inc.,,6020805,DEPRECIATION -COMPUTER EQUIPMENT - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION -FURNITURES AND FIXTURES - Bebang Enterprise Inc.,,6020804,DEPRECIATION -FURNITURES AND FIXTURES - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION -KITCHEN EQUIPMENT - Bebang Enterprise Inc.,,6020803,DEPRECIATION -KITCHEN EQUIPMENT - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION -MOTOR VEHICLE - Bebang Enterprise Inc.,,6020807,DEPRECIATION -MOTOR VEHICLE - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION -OFFICE EQUIPMENT - Bebang Enterprise Inc.,,6020806,DEPRECIATION -OFFICE EQUIPMENT - BEI,,,Expense,Income Statement,UNRESOLVED,0
DEPRECIATION -PROJECT COST RELATED - Bebang Enterprise Inc.,,6020808,DEPRECIATION -PROJECT COST RELATED - BEI,,,Expense,Income Statement,UNRESOLVED,0
DOC. STAMP TAX - Bebang Enterprise Inc.,,6020502,DOC. STAMP TAX - BEI,,,Expense,Income Statement,UNRESOLVED,0
DONATION - Bebang Enterprise Inc.,,6010201,DONATION - BEI,,,Expense,Income Statement,UNRESOLVED,0
ECOM FEES (5%) - Bebang Enterprise Inc.,,6020120,ECOM FEES (5%) - BEI,,,Expense,Income Statement,UNRESOLVED,0
ELECTRICITY - Bebang Enterprise Inc.,,6004001,ELECTRICITY - BEI,,,Expense,Income Statement,UNRESOLVED,0
EMPLOYEE BENEFITS - Bebang Enterprise Inc.,,6002300,EMPLOYEE BENEFITS - BEI,,,Expense,Income Statement,UNRESOLVED,0
EQUIPMENT RENTAL - Bebang Enterprise Inc.,,6020301,EQUIPMENT RENTAL - BEI,,,Expense,Income Statement,UNRESOLVED,0
FINES & PENALTIES - Bebang Enterprise Inc.,,6030004,FINES & PENALTIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
FIRST AID SUPPLIES - Bebang Enterprise Inc.,,6010208,FIRST AID SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
FOOD - Bebang Enterprise Inc.,,5000001,FOOD - BEI,,,Income,Income Statement,UNRESOLVED,0
FOREIGN & LOCAL TRAVEL - Bebang Enterprise Inc.,,6010002,FOREIGN & LOCAL TRAVEL - BEI,,,Expense,Income Statement,UNRESOLVED,0
FRINGE BENEFIT TAX - Bebang Enterprise Inc.,,6020504,FRINGE BENEFIT TAX - BEI,,,Expense,Income Statement,UNRESOLVED,0
FURNITURES AND FIXTURES - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206403,FURNITURES AND FIXTURES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
GAS & OIL - Bebang Enterprise Inc.,,6010001,GAS & OIL - BEI,,,Expense,Income Statement,UNRESOLVED,0
GEN MEET EXPENSES - Bebang Enterprise Inc.,,6010207,GEN MEET EXPENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
