old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
BDO - AMM (9199) - III,,1101114,BDO - AMM (9199) - III,,,Asset,,NOOP,0
BDO - AS2 (3161) - III,,1101146,BDO - AS2 (3161) - III,,,Asset,,NOOP,0
BDO - AV (2629) - III,,1101143,BDO - AV (2629) - III,,,Asset,,NOOP,0
BDO - BFHP (2483) - III,,1101133,BDO - BFHP (2483) - III,,,Asset,,NOOP,0
BDO - CMSSRY (3218) - III,,1101111,BDO - CMSSRY (3218) - III,,,Asset,,NOOP,0
BDO - CMSSRY (9113) - III,,1101110,BDO - CMSSRY (9113) - III,,,Asset,,NOOP,0
BDO - D'VC (3269) - III,,1101154,BDO - D'VC (3269) - III,,,Asset,,NOOP,0
BDO - FMA (2335) - III,,1101131,BDO - FMA (2335) - III,,,Asset,,NOOP,0
BDO - GMALL (3242) - III,,1101153,BDO - GMALL (3242) - III,,,Asset,,NOOP,0
BDO - H.O (3137) - III,,1101108,BDO - H.O (3137) - III,,,Asset,,NOOP,0
BDO - H.O (9164) - III,,1101103,BDO - H.O (9164) - III,,,Asset,,NOOP,0
BDO - LCT (0189) - III,,1101121,BDO - LCT (0189) - III,,,Asset,,NOOP,0
BDO - NAIAT3 (3315) - III,,1101149,BDO - NAIAT3 (3315) - III,,,Asset,,NOOP,0
BDO - PC (1053) - III,,1101126,BDO - PC (1053) - III,,,Asset,,NOOP,0
BDO - PITX (3188) - III,,1101127,BDO - PITX (3188) - III,,,Asset,,NOOP,0
BDO - RGS (3226) - III,,1101148,BDO - RGS (3226) - III,,,Asset,,NOOP,0
BDO - RPA (0197) - III,,1101122,BDO - RPA (0197) - III,,,Asset,,NOOP,0
BDO - RPGT (2637) - III,,1101144,BDO - RPGT (2637) - III,,,Asset,,NOOP,0
BDO - RPI (2602) - III,,1101140,BDO - RPI (2602) - III,,,Asset,,NOOP,0
BDO - SGC (1096) - III,,1101124,BDO - SGC (1096) - III,,,Asset,,NOOP,0
BDO - SJDM (2505) - III,,1101134,BDO - SJDM (2505) - III,,,Asset,,NOOP,0
BDO - SMB (2564) - III,,1101138,BDO - SMB (2564) - III,,,Asset,,NOOP,0
BDO - SMC (2556) - III,,1101139,BDO - SMC (2556) - III,,,Asset,,NOOP,0
BDO - SMCC (3277) - III,,1101151,BDO - SMCC (3277) - III,,,Asset,,NOOP,0
BDO - SMCP (1223) - III,,1101145,BDO - SMCP (1223) - III,,,Asset,,NOOP,0
BDO - SME (1045) - III,,1101129,BDO - SME (1045) - III,,,Asset,,NOOP,0
BDO - SMG (1118) - III,,1101112,BDO - SMG (1118) - III,,,Asset,,NOOP,0
BDO - SMG (9091) - III,,1101113,BDO - SMG (9091) - III,,,Asset,,NOOP,0
BDO - SMK (1088) - III,,1101125,BDO - SMK (1088) - III,,,Asset,,NOOP,0
BDO - SMNE (0057) - III,,1101119,BDO - SMNE (0057) - III,,,Asset,,NOOP,0
BDO - SMNL (0049) - III,,1101115,BDO - SMNL (0049) - III,,,Asset,,NOOP,0
BDO - SMOA (1207) - III,,1101132,BDO - SMOA (1207) - III,,,Asset,,NOOP,0
BDO - SMRL (2548) - III,,1101137,BDO - SMRL (2548) - III,,,Asset,,NOOP,0
BDO - SMS (0235) - III,,1101116,BDO - SMS (0235) - III,,,Asset,,NOOP,0
BDO - SMS (9180) - III,,1101117,BDO - SMS (9180) - III,,,Asset,,NOOP,0
BDO - SMSNDN (2521) - III,,1101136,BDO - SMSNDN (2521) - III,,,Asset,,NOOP,0
BDO - SMSR (3358) - III,,1101156,BDO - SMSR (3358) - III,,,Asset,,NOOP,0
BDO - SMT (2491) - III,,1101135,BDO - SMT (2491) - III,,,Asset,,NOOP,0
BDO - SMTT (3331) - III,,1101155,BDO - SMTT (3331) - III,,,Asset,,NOOP,0
BDO - SMV (0162) - III,,1101120,BDO - SMV (0162) - III,,,Asset,,NOOP,0
BDO - STA.LU (3250) - III,,1101147,BDO - STA.LU (3250) - III,,,Asset,,NOOP,0
BDO - TMS (3129) - III,,1101152,BDO - TMS (3129) - III,,,Asset,,NOOP,0
BDO - TTE (0227) - III,,1101123,BDO - TTE (0227) - III,,,Asset,,NOOP,0
BDO - UMB (3293) - III,,1101150,BDO - UMB (3293) - III,,,Asset,,NOOP,0
BDO - UPTC (2645) - III,,1101141,BDO - UPTC (2645) - III,,,Asset,,NOOP,0
BDO - VGC (1061) - III,,1101130,BDO - VGC (1061) - III,,,Asset,,NOOP,0
BONUSES - III,,6002305,BONUSES - III,,,Expense,,NOOP,0
BPI - H.O (3975) - III,,1101104,BPI - H.O (3975) - III,,,Asset,,NOOP,0
BPI - PITX (4009) - III,,1101128,BPI - PITX (4009) - III,,,Asset,,NOOP,0
BUILDINGS - III,,1206400,Buildings - III,Fixed Assets - III,,Asset,,RENAME,1
BUSINESS DEVELOPMENT - III,,6010204,BUSINESS DEVELOPMENT - III,,,Expense,,NOOP,0
BUSINESS PERMITS & LICENSES - III,,6020501,BUSINESS PERMITS & LICENSES - III,,,Expense,,NOOP,0
CAR PLAN - III,,6002306,CAR PLAN - III,,,Expense,,NOOP,0
CAR REGISTRATION FEE - III,,6020503,CAR REGISTRATION FEE - III,,,Expense,,NOOP,0
CASH - III,,1101000,Cash - III,Cash In Hand - III,,Asset,,RENAME,1
CASH IN BANK - III,,1101100,CASH IN BANK - III,,,Asset,,NOOP,1
CASH ON HAND - III,,1112000,CASH ON HAND - III,,,Asset,,NOOP,1
CASHIER'S FUND - III,,1114000,CASHIER'S FUND - III,,,Asset,,NOOP,0
CELLPHONE - III,,6004004,CELLPHONE - III,,,Expense,,NOOP,0
CHANGE FUND - III,,1112200,CHANGE FUND - III,,,Asset,,NOOP,0
COMMON STOCK - III,,3000001,COMMON STOCK - III,,,Equity,,NOOP,0
COMPETETIVE CHECK - III,,6010211,COMPETETIVE CHECK - III,,,Expense,,NOOP,0
COMPUTER EQUIPMENT - III,,1206404,COMPUTER EQUIPMENT - III,,,Asset,,NOOP,1
CONSTRUCTION BOND - III,,1207201,CONSTRUCTION BOND - III,,,Asset,,NOOP,0
CONTROLLABLES - III,,6001000,CONTROLLABLES - III,,,Expense,,NOOP,1
COST OF SALES - III,,5000000,COST OF SALES - III,,,Expense,,NOOP,1
CREDIT CARD - DAYMAE - III,,1101101,CREDIT CARD - DAYMAE - III,,,Asset,,NOOP,0
CREDIT CARD - SAMER - III,,1101102,CREDIT CARD - SAMER - III,,,Asset,,NOOP,0
CREDITABLE WITHHOLDING TAXES - III,,1105101,CREDITABLE WITHHOLDING TAXES - III,,,Asset,,NOOP,0
CREW/STAFF SALARIES - III,,6002000,CREW/STAFF SALARIES - III,,,Expense,,NOOP,1
CREW/STAFF SALARIES-13TH MONTH PAY - III,,6002009,CREW/STAFF SALARIES-13TH MONTH PAY - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-ALLOWANCES - III,,6002011,CREW/STAFF SALARIES-ALLOWANCES - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-BASIC PAY - III,,6002001,CREW/STAFF SALARIES-BASIC PAY - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-DE MINIMIS - III,,6002002,CREW/STAFF SALARIES-DE MINIMIS - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-HOLIDAY PAY - III,,6002004,CREW/STAFF SALARIES-HOLIDAY PAY - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-HONORARIUM - III,,6002003,CREW/STAFF SALARIES-HONORARIUM - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-LAST PAY CREW/STAFF - III,,6002008,CREW/STAFF SALARIES-LAST PAY CREW/STAFF - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-NIGHT DIFFERENTIAL - III,,6002007,CREW/STAFF SALARIES-NIGHT DIFFERENTIAL - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-OVERTIME PAY - III,,6002006,CREW/STAFF SALARIES-OVERTIME PAY - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-REST DAY PAY - III,,6002005,CREW/STAFF SALARIES-REST DAY PAY - III,,,Expense,,NOOP,0
CREW/STAFF SALARIES-SL/VL CONVERSION - III,,6002010,CREW/STAFF SALARIES-SL/VL CONVERSION - III,,,Expense,,NOOP,0
CUSA CHARGES - III,,6020302,CUSA CHARGES - III,,,Expense,,NOOP,0
DEFICIT - III,,3000002,DEFICIT - III,,,Equity,,NOOP,0
DELIVERY FUND - III,,1115000,DELIVERY FUND - III,,,Asset,,NOOP,0
DELIVERY RIDERS - III,,6009003,DELIVERY RIDERS - III,,,Expense,,NOOP,0
DEPRECIATION - BUILDINGS - III,,6020801,DEPRECIATION - BUILDINGS - III,,,Expense,,NOOP,0
DEPRECIATION - III,,6020800,Depreciation - III,Indirect Expenses - III,,Expense,,RENAME,1
DEPRECIATION - LEASEHOLD IMPROVEMENTS - III,,6020802,DEPRECIATION - LEASEHOLD IMPROVEMENTS - III,,,Expense,,NOOP,0
DEPRECIATION -COMPUTER EQUIPMENT - III,,6020805,DEPRECIATION -COMPUTER EQUIPMENT - III,,,Expense,,NOOP,0
DEPRECIATION -FURNITURES AND FIXTURES - III,,6020804,DEPRECIATION -FURNITURES AND FIXTURES - III,,,Expense,,NOOP,0
DEPRECIATION -KITCHEN EQUIPMENT - III,,6020803,DEPRECIATION -KITCHEN EQUIPMENT - III,,,Expense,,NOOP,0
DEPRECIATION -MOTOR VEHICLE - III,,6020807,DEPRECIATION -MOTOR VEHICLE - III,,,Expense,,NOOP,0
DEPRECIATION -OFFICE EQUIPMENT - III,,6020806,DEPRECIATION -OFFICE EQUIPMENT - III,,,Expense,,NOOP,0
DEPRECIATION -PROJECT COST RELATED - III,,6020808,DEPRECIATION -PROJECT COST RELATED - III,,,Expense,,NOOP,0
DISCOUNTS AND PROMO - III,SALES - III,4000200,BKI SALES - III,4000000 - SALES - III,4000200,Income,,RENAME,1
DOC. STAMP TAX - III,,6020502,DOC. STAMP TAX - III,,,Expense,,NOOP,0
DONATION - III,,6010201,DONATION - III,,,Expense,,NOOP,0
ECOM FEES (5%) - III,,6020120,ECOM FEES (5%) - III,,,Expense,,NOOP,0
ECOMMERCE FEE INCOME - III,FRANCHISE INCOME - III,4000304,ECOMMERCE FEE INCOME - III,,,Income,Income,NOOP,0
ELECTRICITY - III,,6004001,ELECTRICITY - III,,,Expense,,NOOP,0
EMPLOYEE BENEFITS - III,,6002300,EMPLOYEE BENEFITS - III,,,Expense,,NOOP,1
EQUIPMENT RENTAL - III,,6020301,EQUIPMENT RENTAL - III,,,Expense,,NOOP,0
FINES & PENALTIES - III,,6030004,FINES & PENALTIES - III,,,Expense,,NOOP,0
FIRST AID SUPPLIES - III,,6010208,FIRST AID SUPPLIES - III,,,Expense,,NOOP,0
FOOD - III,,5000001,FOOD - III,,,Expense,,NOOP,0
FOREIGN & LOCAL TRAVEL - III,,6010002,FOREIGN & LOCAL TRAVEL - III,,,Expense,,NOOP,0
FRANCHISE INCOME - III,SALES - III,4000300,FRANCHISE INCOME - III,,,Income,,NOOP,1
FRINGE BENEFIT TAX - III,,6020504,FRINGE BENEFIT TAX - III,,,Expense,,NOOP,0
FURNITURES AND FIXTURES - III,,1206403,FURNITURES AND FIXTURES - III,,,Asset,,NOOP,1
GAS & OIL - III,,6010001,GAS & OIL - III,,,Expense,,NOOP,0
GEN MEET EXPENSES - III,,6010207,GEN MEET EXPENSES - III,,,Expense,,NOOP,0
GR/IR CLEARING - III,INVENTORY - III,1104005,GR/IR CLEARING - III,,,Asset,,NOOP,0
HDMF CONTRIBUTION-CREW/STAFF - III,,6002205,HDMF CONTRIBUTION-CREW/STAFF - III,,,Expense,,NOOP,0
HDMF CONTRIBUTION-MGT - III,,6002202,HDMF CONTRIBUTION-MGT - III,,,Expense,,NOOP,0
INCOME TAX PAYABLE - III,,2102201,INCOME TAX PAYABLE - III,,,Liability,,NOOP,0
INPUT VAT - GOODS - III,,1105103,INPUT VAT - GOODS - III,,,Asset,,NOOP,0
INPUT VAT - IMPORTATION - III,,1105105,INPUT VAT - IMPORTATION - III,,,Asset,,NOOP,0
INPUT VAT - SERVICES - III,,1105104,INPUT VAT - SERVICES - III,,,Asset,,NOOP,0
INSURANCE - III,,6020401,INSURANCE - III,,,Expense,,NOOP,0
INTEREST EXPENSE-BANKS - III,,6030003,INTEREST EXPENSE-BANKS - III,,,Expense,,NOOP,0
INTEREST EXPENSE-OTHERS - III,,6030002,INTEREST EXPENSE-OTHERS - III,,,Expense,,NOOP,0
INTERNET CHARGES - III,,6004005,INTERNET CHARGES - III,,,Expense,,NOOP,0
INVENTORY - COMMISSARY - III,,1104001,INVENTORY - COMMISSARY - III,,,Asset,,NOOP,0
INVENTORY - III,,1104000,INVENTORY - III,,,Asset,,NOOP,1
INVENTORY - STORES - III,,1104003,INVENTORY - STORES - III,,,Asset,,NOOP,0
JANITORIAL SUPPLIES - III,,6006002,JANITORIAL SUPPLIES - III,,,Expense,,NOOP,0
KITCHEN EQUIPMENT - III,,1206402,KITCHEN EQUIPMENT - III,,,Asset,,NOOP,1
LEASE RELATED EXPENSES - III,,6020300,LEASE RELATED EXPENSES - III,,,Expense,,NOOP,1
LEASEHOLD IMPROVEMENTS - III,,1206401,LEASEHOLD IMPROVEMENTS - III,,,Asset,,NOOP,1
LEGAL FEES - III,,6020603,LEGAL FEES - III,,,Expense,,NOOP,0
LIABILITIES - III,,2000000,LIABILITIES - III,,,Liability,,NOOP,1
LOANS PAYABLE - CURRENT - III,,2104101,LOANS PAYABLE - CURRENT - III,,,Liability,,NOOP,0
LOANS PAYABLE - NON CURRENT - III,,2201100,LOANS PAYABLE - NON CURRENT - III,,,Liability,,NOOP,0
LOCAL AD & PROMO - III,,6005000,LOCAL AD & PROMO - III,,,Expense,,NOOP,0
LOGISTIC COST - III,,6003000,LOGISTIC COST - III,,,Expense,,NOOP,1
LOGISTICS COST-COMMISSARY - III,,6003001,LOGISTICS COST-COMMISSARY - III,,,Expense,,NOOP,0
LOGISTICS COST-PCF - III,,6003002,LOGISTICS COST-PCF - III,,,Expense,,NOOP,0
LOGISTICS COST-WAREHOUSE - III,,6003003,LOGISTICS COST-WAREHOUSE - III,,,Expense,,NOOP,0
LONG-TERM DEBT - III,,2201000,LONG-TERM DEBT - III,,,Liability,,NOOP,1
MANAGEMENT & CREW INCENTIVES - III,,6002309,MANAGEMENT & CREW INCENTIVES - III,,,Expense,,NOOP,0
MANAGEMENT FEE (2.5%) - III,,6020701,MANAGEMENT FEE (2.5%) - III,,,Expense,,NOOP,0
MANAGEMENT FEE (2%) - III,,6020702,MANAGEMENT FEE (2%) - III,,,Expense,,NOOP,0
MANAGEMENT FEE INCOME - III,FRANCHISE INCOME - III,4000303,MANAGEMENT FEE INCOME - III,,,Income,Income,NOOP,0
MANAGEMENT SALARIES - III,,6001001,MANAGEMENT SALARIES - III,,,Expense,,NOOP,1
MANAGEMENT SALARIES-13TH MONTH PAY - III,,6001011,MANAGEMENT SALARIES-13TH MONTH PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-ALLOWANCES - III,,6001013,MANAGEMENT SALARIES-ALLOWANCES - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-BASIC PAY - III,,6001002,MANAGEMENT SALARIES-BASIC PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-DE MINIMIS - III,,6001003,MANAGEMENT SALARIES-DE MINIMIS - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-HOLIDAY PAY - III,,6001005,MANAGEMENT SALARIES-HOLIDAY PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-HONORARIUM - III,,6001004,MANAGEMENT SALARIES-HONORARIUM - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-LAST PAY - III,,6001009,MANAGEMENT SALARIES-LAST PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-NIGHT DIFFERENTIAL - III,,6001008,MANAGEMENT SALARIES-NIGHT DIFFERENTIAL - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-OVERTIME PAY - III,,6001007,MANAGEMENT SALARIES-OVERTIME PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-REST DAY PAY - III,,6001006,MANAGEMENT SALARIES-REST DAY PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-SEPARATION PAY - III,,6001010,MANAGEMENT SALARIES-SEPARATION PAY - III,,,Expense,,NOOP,0
MANAGEMENT SALARIES-SL/VL CONVERSION - III,,6001012,MANAGEMENT SALARIES-SL/VL CONVERSION - III,,,Expense,,NOOP,0
MARKETING FEE INCOME - III,FRANCHISE INCOME - III,4000302,MARKETING FEE INCOME - III,,,Income,Income,NOOP,0
MEALS - III,,6002301,MEALS - III,,,Expense,,NOOP,0
MEDICAL & PERSONAL ACCIDENT INSURANCE - III,,6002303,MEDICAL & PERSONAL ACCIDENT INSURANCE - III,,,Expense,,NOOP,0
MEMBERSHIP DUES & SUBSCRIPTION - III,,6010205,MEMBERSHIP DUES & SUBSCRIPTION - III,,,Expense,,NOOP,0
MINIMUM GUARANTEED RENT - III,,6020201,MINIMUM GUARANTEED RENT - III,,,Expense,,NOOP,0
MISCELLANEOUS EXPENSES - III,,6010200,Miscellaneous Expenses - III,Indirect Expenses - III,,Expense,,RENAME,1
MOTOR & CAR TAXI/JEEPNEY FARES - III,,6010003,MOTOR & CAR TAXI/JEEPNEY FARES - III,,,Expense,,NOOP,0
MOTOR VEHICLE - III,,1206406,MOTOR VEHICLE - III,,,Asset,,NOOP,1
MYSTERY SHOPPER COST - III,,6010210,MYSTERY SHOPPER COST - III,,,Expense,,NOOP,0
NATIONAL ADVERTISING FUND (3% ON NET SALES) - III,,6020102,NATIONAL ADVERTISING FUND (3% ON NET SALES) - III,,,Expense,,NOOP,0
NATIONAL ADVERTISING FUND (5% ON NET SALES) - III,,6020101,NATIONAL ADVERTISING FUND (5% ON NET SALES) - III,,,Expense,,NOOP,0
NON-CONTROLLABLES - III,,6020000,NON-CONTROLLABLES - III,,,Expense,,NOOP,1
NON-CURRENT ASSETS - III,,1200000,NON-CURRENT ASSETS - III,,,Asset,,NOOP,1
NON-CURRENT LIABILITIES - III,,2200000,NON-CURRENT LIABILITIES - III,,,Liability,,NOOP,1
NON-TRADE PAYABLES - III,,2101000,NON-TRADE PAYABLES - III,,,Liability,,NOOP,1
NON-TRADE RECEIVABLES - III,,1103200,NON-TRADE RECEIVABLES - III,,,Asset,,NOOP,1
OFFICE EQUIPMENT - III,,1206405,OFFICE EQUIPMENT - III,,,Asset,,NOOP,1
OFFICE SUPPLIES - III,,6006003,OFFICE SUPPLIES - III,,,Expense,,NOOP,0
OPERATING EXPENSES - III,,6000000,OPERATING EXPENSES - III,,,Expense,,NOOP,1
OPERATING SUPPLIES - III,,6006000,OPERATING SUPPLIES - III,,,Expense,,NOOP,1
OPERATING SUPPLIES-COMMISSARY - III,,6006004,OPERATING SUPPLIES-COMMISSARY - III,,,Expense,,NOOP,0
OTHER ASSETS - III,,1207100,OTHER ASSETS - III,,,Asset,,NOOP,1
OTHER CHARGES - III,,6030001,OTHER CHARGES - III,,,Expense,,NOOP,1
OTHER CURRENT ASSETS - III,,1105000,OTHER CURRENT ASSETS - III,,,Asset,,NOOP,1
OTHER INCOME - III,,6030000,OTHER INCOME - III,,,Income,,NOOP,0
OTHER PAYABLES - III,,2102100,OTHER PAYABLES - III,,,Liability,,NOOP,1
